task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
233	53/6e9b1f	483442	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMBINEREPORTER (b1)	COMPLETED	0	2026-08-21 22:52:53.851	25.4s	0ms	99.1%	15 MB	19.1 MB	3 MB	181.9 KB
229	b6/0dc81d	483465	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMBINEREPORTER (f)	COMPLETED	0	2026-08-21 22:52:53.858	25.4s	0ms	101.1%	17.3 MB	21.8 MB	3 MB	223.6 KB
234	3c/c13b16	483549	EBIMETAGENOMICS:MOBILOMEANNOTATION:COMBINEREPORTER (e)	COMPLETED	0	2026-08-21 22:52:53.878	25.5s	1s	100.2%	15.2 MB	19.5 MB	3.1 MB	197 KB
236	48/5a9cb2	485568	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:GFF_MAPPING (d)	COMPLETED	0	2026-08-21 22:53:19.078	1m 38s	1m 31s	99.9%	21.5 MB	24.1 MB	1.8 MB	1004.5 KB
237	5d/8c657a	485724	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:GFF_MAPPING (a)	COMPLETED	0	2026-08-21 22:53:19.217	1m 40s	1m 33s	99.9%	23.6 MB	24 MB	1.7 MB	897.5 KB
239	7b/2d50f3	485846	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:GFF_MAPPING (f)	COMPLETED	0	2026-08-21 22:53:19.321	1m 42s	1m 35s	100.0%	19.5 MB	24 MB	1.8 MB	1003.7 KB
252	a5/e28a5d	495612	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_CLEAN (a)	COMPLETED	0	2026-08-21 22:54:58.874	3.8s	138ms	27.2%	6.5 MB	10.3 MB	199.6 KB	13.9 KB
248	9f/3dc344	495701	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_EXTRA (a)	COMPLETED	0	2026-08-21 22:54:58.906	3.8s	145ms	26.2%	6.5 MB	10.3 MB	151.3 KB	9.5 KB
244	d2/6a45a7	495133	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_EXTRA (d)	COMPLETED	0	2026-08-21 22:54:57.072	5.8s	140ms	33.4%	6.4 MB	10.3 MB	155.9 KB	10.1 KB
249	e2/b7472f	495616	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_EXTRA (a)	COMPLETED	0	2026-08-21 22:54:58.880	4.1s	237ms	16.3%	6.5 MB	10.3 MB	167.4 KB	9.9 KB
245	e1/9f107a	495112	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_FULL (d)	COMPLETED	0	2026-08-21 22:54:57.067	5.9s	226ms	21.0%	6.6 MB	10.3 MB	460.6 KB	61.6 KB
250	a2/2efb07	495630	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_FULL (a)	COMPLETED	0	2026-08-21 22:54:58.887	4.2s	178ms	31.8%	6.6 MB	10.3 MB	485.1 KB	55.6 KB
243	94/b2d868	495093	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_FULL (d)	COMPLETED	0	2026-08-21 22:54:57.061	6.1s	228ms	21.2%	6.6 MB	10.3 MB	528.8 KB	61.7 KB
246	48/dfb946	495080	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_CLEAN (d)	COMPLETED	0	2026-08-21 22:54:57.055	6.1s	198ms	23.9%	6.7 MB	10.3 MB	212.1 KB	15.7 KB
247	af/1bdb94	495649	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_FULL (a)	COMPLETED	0	2026-08-21 22:54:58.893	4.3s	135ms	27.4%	6.6 MB	10.3 MB	422.9 KB	55.6 KB
241	1a/f26a96	495182	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_CLEAN (d)	COMPLETED	0	2026-08-21 22:54:57.086	6.3s	107ms	42.4%	6.5 MB	10.3 MB	190.3 KB	15.1 KB
251	47/4a0457	495672	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_CLEAN (a)	COMPLETED	0	2026-08-21 22:54:58.900	4.7s	86ms	41.0%	6.6 MB	10.3 MB	179.5 KB	13.4 KB
255	55/c0efc5	496039	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_EXTRA (f)	COMPLETED	0	2026-08-21 22:55:01.480	2.2s	85ms	40.8%	6.8 MB	10.3 MB	155.9 KB	10.1 KB
253	87/91e6e5	496014	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_CLEAN (f)	COMPLETED	0	2026-08-21 22:55:01.475	2.4s	185ms	25.1%	6.5 MB	10.3 MB	190.3 KB	15.1 KB
242	09/b36119	495075	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_EXTRA (d)	COMPLETED	0	2026-08-21 22:54:57.049	6.9s	164ms	28.4%	6.6 MB	10.3 MB	172.7 KB	10.8 KB
256	aa/cc32a6	495948	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_FULL (f)	COMPLETED	0	2026-08-21 22:55:01.448	2.6s	202ms	32.7%	6.9 MB	10.3 MB	528.8 KB	61.7 KB
254	ee/cf6601	495965	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_CLEAN (f)	COMPLETED	0	2026-08-21 22:55:01.461	2.6s	170ms	22.0%	6.5 MB	10.3 MB	212.1 KB	15.7 KB
257	45/9561b6	495950	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIPTABIX_EXTRA (f)	COMPLETED	0	2026-08-21 22:55:01.454	2.6s	168ms	22.3%	6.6 MB	10.3 MB	172.7 KB	10.8 KB
258	0d/bcd3c8	495990	EBIMETAGENOMICS:MOBILOMEANNOTATION:GFF_MAPPING_COMPRESSION_AND_INDEXING:TABIX_BGZIP_FULL (f)	COMPLETED	0	2026-08-21 22:55:01.468	2.7s	144ms	38.4%	6.6 MB	10.3 MB	460.6 KB	61.6 KB
