GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_001381255.1	TRUE	FALSE	FALSE
GCA_001841205.1	TRUE	FALSE	FALSE
GCA_000656895.1	TRUE	FALSE	FALSE
GCA_000651515.1	TRUE	FALSE	FALSE
GCA_001947965.1	TRUE	FALSE	FALSE
GCA_000677275.1	TRUE	FALSE	FALSE
GCA_000463175.1	TRUE	FALSE	FALSE
GCA_000749805.1	TRUE	FALSE	FALSE
GCA_001322105.1	TRUE	FALSE	FALSE
GCA_000677735.1	TRUE	FALSE	FALSE
GCA_000678635.1	TRUE	FALSE	FALSE
GCA_000670815.1	TRUE	FALSE	FALSE
GCA_000705885.1	TRUE	FALSE	FALSE
GCA_004107845.1	TRUE	FALSE	FALSE
GCA_900120465.1	TRUE	FALSE	FALSE
GCA_030570075.1	TRUE	FALSE	FALSE
GCA_033127285.1	TRUE	FALSE	FALSE
GCA_037076315.1	TRUE	FALSE	FALSE
GCA_003394815.1	TRUE	FALSE	FALSE
GCA_001943055.1	TRUE	FALSE	TRUE
GCA_003398275.1	TRUE	FALSE	FALSE
GCA_000947875.1	TRUE	FALSE	FALSE
GCA_000671795.1	TRUE	FALSE	FALSE
GCA_047689415.1	TRUE	FALSE	FALSE
GCA_000674375.1	TRUE	FALSE	FALSE
GCA_000672675.1	TRUE	FALSE	FALSE
GCA_001851765.1	TRUE	FALSE	FALSE
GCA_001997775.1	TRUE	FALSE	FALSE
GCA_031625275.1	TRUE	FALSE	FALSE
GCA_001847835.1	TRUE	FALSE	FALSE
GCA_000665365.1	TRUE	FALSE	FALSE
GCA_001849175.1	TRUE	FALSE	FALSE
GCA_002447935.1	TRUE	FALSE	FALSE
GCA_000668055.1	TRUE	FALSE	FALSE
GCA_001842515.1	TRUE	FALSE	TRUE
GCA_000653255.1	TRUE	FALSE	FALSE
GCA_002723545.1	TRUE	FALSE	FALSE
GCA_003383325.1	TRUE	FALSE	FALSE
GCA_001383815.1	TRUE	FALSE	FALSE
GCA_000676055.1	TRUE	FALSE	FALSE
GCA_004113425.1	TRUE	FALSE	FALSE
GCA_001841605.1	TRUE	FALSE	TRUE
GCA_001386035.1	TRUE	FALSE	FALSE
GCA_000657195.1	TRUE	FALSE	FALSE
GCA_000664545.1	TRUE	FALSE	TRUE
GCA_030577095.1	TRUE	FALSE	FALSE
GCA_001378255.1	TRUE	FALSE	FALSE
GCA_001396715.1	TRUE	FALSE	FALSE
GCA_000677215.1	TRUE	FALSE	FALSE
GCA_002129925.1	TRUE	FALSE	FALSE
GCA_001376695.1	TRUE	FALSE	TRUE
GCA_001195685.1	TRUE	FALSE	FALSE
GCA_001392335.1	TRUE	FALSE	FALSE
GCA_004113345.1	TRUE	FALSE	FALSE
GCA_000659445.1	TRUE	FALSE	FALSE
GCA_002129025.1	TRUE	FALSE	TRUE
GCA_000653455.1	TRUE	FALSE	TRUE
GCA_000664085.1	TRUE	FALSE	FALSE
GCA_030570955.1	TRUE	FALSE	TRUE
GCA_003392965.1	TRUE	FALSE	FALSE
GCA_001943585.1	TRUE	FALSE	FALSE
GCA_014901135.1	TRUE	FALSE	FALSE
GCA_000650535.1	TRUE	FALSE	FALSE
GCA_001848935.1	TRUE	FALSE	FALSE
GCA_000661025.1	TRUE	FALSE	FALSE
GCA_020684605.1	TRUE	FALSE	FALSE
GCA_000663505.1	TRUE	FALSE	FALSE
GCA_000659285.1	TRUE	FALSE	FALSE
GCA_001842095.1	TRUE	FALSE	FALSE
GCA_001849005.1	TRUE	FALSE	FALSE
GCA_001390095.1	TRUE	FALSE	FALSE
GCA_000681255.1	TRUE	FALSE	FALSE
GCA_001192515.1	TRUE	FALSE	TRUE
GCA_031201325.1	TRUE	FALSE	FALSE
GCA_044324775.1	TRUE	FALSE	FALSE
GCA_001380195.1	TRUE	FALSE	TRUE
GCA_003031065.1	TRUE	FALSE	FALSE
GCA_001324465.1	TRUE	FALSE	FALSE
GCA_000803845.1	TRUE	FALSE	FALSE
GCA_004109215.1	TRUE	FALSE	FALSE
GCA_001388435.1	TRUE	FALSE	FALSE
GCA_001840835.1	TRUE	FALSE	FALSE
GCA_003393685.1	TRUE	FALSE	FALSE
GCA_000668395.1	TRUE	FALSE	FALSE
GCA_000666045.1	TRUE	FALSE	FALSE
GCA_000443935.1	TRUE	FALSE	FALSE
GCA_000664585.1	TRUE	FALSE	TRUE
GCA_000658555.1	TRUE	FALSE	FALSE
GCA_001844615.1	TRUE	FALSE	FALSE
GCA_900122555.1	TRUE	FALSE	FALSE
GCA_000664145.1	TRUE	FALSE	FALSE
GCA_001943895.1	TRUE	FALSE	FALSE
GCA_001946505.1	TRUE	FALSE	FALSE
GCA_023864615.1	TRUE	FALSE	FALSE
GCA_000666945.1	TRUE	FALSE	FALSE
GCA_004112395.1	TRUE	FALSE	FALSE
GCA_001846435.1	TRUE	FALSE	TRUE
GCA_002130565.1	TRUE	FALSE	FALSE
GCA_000679415.1	TRUE	FALSE	FALSE
GCA_003546315.1	TRUE	FALSE	FALSE
GCA_900122295.1	TRUE	FALSE	TRUE
GCA_900121955.1	TRUE	FALSE	FALSE
GCA_018138785.1	TRUE	FALSE	TRUE
GCA_001167185.1	TRUE	FALSE	FALSE
GCA_000654015.1	TRUE	FALSE	FALSE
GCA_001385915.1	TRUE	FALSE	FALSE
GCA_000679375.1	TRUE	FALSE	FALSE
GCA_028583285.1	TRUE	FALSE	FALSE
GCA_000709675.1	TRUE	FALSE	FALSE
GCA_001846945.1	TRUE	FALSE	FALSE
GCA_900121755.1	TRUE	FALSE	FALSE
GCA_000656255.1	TRUE	FALSE	FALSE
GCA_000655075.1	TRUE	FALSE	FALSE
GCA_001845895.1	TRUE	FALSE	FALSE
GCA_000668795.1	TRUE	FALSE	FALSE
GCA_015686885.1	TRUE	FALSE	FALSE
GCA_001844685.1	TRUE	FALSE	FALSE
