GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_046263355.1	TRUE	FALSE	FALSE
GCA_001105845.1	TRUE	FALSE	FALSE
GCA_002033925.1	TRUE	FALSE	FALSE
GCA_001700345.1	TRUE	FALSE	FALSE
GCA_000974045.1	TRUE	FALSE	FALSE
GCA_042954685.1	TRUE	FALSE	FALSE
GCA_001317605.1	TRUE	FALSE	FALSE
GCA_965264715.1	TRUE	FALSE	FALSE
GCA_002049385.1	TRUE	FALSE	FALSE
GCA_001952395.1	TRUE	FALSE	FALSE
GCA_001481195.1	TRUE	FALSE	FALSE
GCA_001080425.1	TRUE	FALSE	FALSE
GCA_037794445.1	TRUE	FALSE	FALSE
GCA_002107465.1	TRUE	FALSE	FALSE
GCA_034650115.1	TRUE	FALSE	FALSE
GCA_001079845.1	TRUE	FALSE	FALSE
GCA_001079425.1	TRUE	FALSE	FALSE
GCA_002030365.1	TRUE	FALSE	FALSE
GCA_018359665.1	TRUE	FALSE	FALSE
GCA_002061335.1	TRUE	FALSE	FALSE
GCA_049619935.1	TRUE	FALSE	FALSE
GCA_004847345.1	TRUE	FALSE	FALSE
GCA_002039505.1	TRUE	FALSE	FALSE
GCA_001214365.1	TRUE	FALSE	FALSE
GCA_003137835.1	TRUE	FALSE	FALSE
GCA_013412615.1	TRUE	FALSE	FALSE
GCA_001150445.1	TRUE	FALSE	FALSE
GCA_024177845.1	TRUE	FALSE	FALSE
GCA_001360675.1	TRUE	FALSE	FALSE
GCA_951660735.1	TRUE	FALSE	FALSE
GCA_043109165.1	TRUE	FALSE	FALSE
GCA_008363645.1	TRUE	FALSE	FALSE
GCA_001214325.1	TRUE	FALSE	FALSE
GCA_002035945.1	TRUE	FALSE	FALSE
GCA_000748425.1	TRUE	FALSE	FALSE
GCA_008363465.1	TRUE	FALSE	FALSE
GCA_002062895.1	TRUE	FALSE	FALSE
GCA_046159125.1	TRUE	FALSE	FALSE
GCA_016519235.1	TRUE	FALSE	FALSE
GCA_001952405.1	TRUE	FALSE	FALSE
GCA_032307855.1	TRUE	FALSE	FALSE
GCA_024177745.1	TRUE	FALSE	FALSE
GCA_039991465.1	TRUE	FALSE	FALSE
GCA_003549755.1	TRUE	FALSE	FALSE
GCA_001365155.1	TRUE	FALSE	FALSE
GCA_039032095.1	TRUE	FALSE	FALSE
GCA_050887035.1	TRUE	FALSE	FALSE
GCA_016773355.1	TRUE	FALSE	FALSE
GCA_023008105.1	TRUE	FALSE	FALSE
GCA_001478565.1	TRUE	FALSE	FALSE
GCA_012028915.1	TRUE	FALSE	FALSE
GCA_041411205.1	TRUE	FALSE	FALSE
GCA_002038705.1	TRUE	FALSE	TRUE
GCA_037480655.1	TRUE	FALSE	FALSE
GCA_000984135.1	TRUE	FALSE	TRUE
GCA_000648455.2	TRUE	FALSE	TRUE
GCA_002034285.1	TRUE	FALSE	FALSE
GCA_003066135.1	TRUE	FALSE	FALSE
GCA_023006915.1	TRUE	FALSE	FALSE
GCA_001124285.1	TRUE	FALSE	FALSE
GCA_001148845.1	TRUE	FALSE	FALSE
GCA_003137675.1	TRUE	FALSE	FALSE
GCA_004292125.1	TRUE	FALSE	FALSE
GCA_001365495.1	TRUE	FALSE	FALSE
GCA_043108815.1	TRUE	FALSE	FALSE
GCA_000293115.1	TRUE	FALSE	FALSE
GCA_019586865.1	TRUE	FALSE	FALSE
GCA_002723785.1	TRUE	FALSE	FALSE
GCA_003413885.1	TRUE	FALSE	TRUE
GCA_037797495.1	TRUE	FALSE	FALSE
